,Unnamed: 0,user_id,username,date,Tweet
77,77,1101876538193010690,jmin,Tue Mar 05 02:39:52 +0000 2019,"['ahaeffy', 'anissuddin', 'risesailormoon', 'jokowi', 'tolol', 'pemerintah', 'mendukung', 'mobil', 'nasional', 'seperti', 'smk', 'itu', 'yg', 'produksi', 'pt', 'smk', 'alias', 'swasta', 'kalau', 'udah', 'siap', 'pasti', 'didukung', 'ibarat', 'lo', 'sekolah', 'didukung', 'ortumu', 'tapi', 'kanu', 'gak', 'lulus', 'lulus', 'apa', 'kau', 'bilang', 'ortumu', 'janji', 'janji', 'mulu']"
78,78,1055215159,hellodonn,Tue Mar 05 02:39:34 +0000 2019,"['rt', 'halleluhellyeah', 'ngarep', 'pengen', 'punya', 'pacar', 'yang', 'religius', 'itu', 'tolol', 'sebab', 'kalo', 'beneran', 'religius', 'mana', 'mau', 'di', 'ajak', 'pacaran', 'karena', 'agama', 'm…']"
79,79,993198896284295168,KaterinaKwari.#JokowiMaruf2019/24,Tue Mar 05 02:39:24 +0000 2019,"['poetra22607597', 'partaisocmed', 'badjanuswantara', 'itu', 'makanya', 'kita', 'hrs', 'koreksi', 'diri', 'dan', 'ngaca', 'jangan', 'koreksi', 'kritiknyinyirin', 'org', 'jago', 'tak', 'taunya', 'diri', 'sendiri', 'bermasalah', 'ini', 'namanya', 'manusia', 'pekok', 'munafiktololjangan', 'kita', 'merasa', 'lbh', 'benar', 'dr', 'org', 'lain', 'semut', 'dimata', 'orang', 'dia', 'lihat', 'padahal', 'balok', 'ada', 'dimata', 'dia', 'ngak', 'dilihatnya']"
80,80,762272580686393344,Luana,Tue Mar 05 02:39:21 +0000 2019,"['athar69046912', 'emang', 'tolol', 'dan', 'dungu', 'justru', 'tertangkapnya', 'wasekjen', 'demokrat', 'andiarief', 'membuktikan', 'ke', 'serius', 'an', 'pemerintah', 'membasmi', 'narkoba', 'tidak', 'pandang', 'siapapun', 'dia', '02nyabu', '02andiariefnarkoba']"
81,81,470684602,Lukita Adam,Tue Mar 05 02:39:16 +0000 2019,"['rt', 'ahjusi', 'uusbiasaaja', 'agama', 'ku', 'asik', 'cuman', 'orang', 'nya', 'aja', 'banyak', 'yang', 'tolol']"
82,82,445897786,@kusnaclludhtie,Tue Mar 05 02:38:52 +0000 2019,"['kolotna', 'teu', 'hideungtolol', 'httpstcorm7psy5unu']"
83,83,741752360062459904,bucin,Tue Mar 05 02:38:51 +0000 2019,"['rlthingy', 'tolol', 'bgt']"
84,84,1061129658182193152,Seruni Lumongga,Tue Mar 05 02:38:44 +0000 2019,"['detikcom', 'ye', 'gila', 'udah', 'terciduk', 'masih', 'aja', 'nyalahin', 'orang', 'pakek', 'narkoba', 'mah', 'pakek', 'aja', 'gausah', 'nyalahin', 'pemerintah', 'tolol']"
85,85,1001692188277968897,KOMANDO PRABOWO!,Tue Mar 05 02:37:25 +0000 2019,"['fahrihamzah', 'trikemal', 'gue', 'nonton', 'bang', 'fahrihamzah', 'cuma', 'gue', 'bete', 'dan', 'kesal', 'banyak', 'manusia', 'tolol', 'bin', 'dungu', 'yang', 'komentar', 'jadi', 'ilfil', 'dan', 'gue', 'keluar', 'padahal', 'gue', 'pengen', 'nyimak', 'habis', 'penjelasannya', 'komentar', 'netizen', 'bodoh', 'dungu', 'merusak', 'suasana']"
86,86,4734434623,ulik,Tue Mar 05 02:36:44 +0000 2019,"['rt', 'halleluhellyeah', 'ngarep', 'pengen', 'punya', 'pacar', 'yang', 'religius', 'itu', 'tolol', 'sebab', 'kalo', 'beneran', 'religius', 'mana', 'mau', 'di', 'ajak', 'pacaran', 'karena', 'agama', 'm…']"
87,87,562855843,ay.,Tue Mar 05 02:36:42 +0000 2019,"['rt', 'gagitufay', 'kebiasaan', 'tolol', 'gua', 'kan', 'kalau', 'dosen', 'nampilin', 'materi', 'suka', 'gua', 'foto', 'eh', 'bgst', 'taunya', 'materi', 'udah', 'dishare', 'di', 'grup', 'terus', 'buat', 'apa…']"
88,88,97486369,gusabi knpdia??,Tue Mar 05 02:36:31 +0000 2019,"['rezaalpp', 'lo', 'tolol']"
89,89,917578176322093056,lemon🍋,Tue Mar 05 02:36:16 +0000 2019,"['rlthingy', 'tolol']"
90,90,1033880266673020928,Yadi,Tue Mar 05 02:33:30 +0000 2019,"['bintangku206', 'aconghai90', 'polisi', 'banci', 'tolol', 'dungu', 'gx', 'berotak', 'itu', 'org', 'bkn', 'barang', 'loe', 'anggep', 'hercules', 'maen', 'ceweng', 'beraninya', 'am', 'yg', 'krempeng']"
91,91,161570163,Amir Annuar,Tue Mar 05 02:33:04 +0000 2019,"['ikhwansaloot', 'yes', 'mcm', 'gaji', '15k', 'sebulannya', 'habis', 'begitu', 'sahaja', 'dasar', 'tolol', 'biarkan', 'jelah', 'yang', 'ko', 'nk', 'tunjuk', 'ko', 'berduit', 'tue', 'knape', 'tiada', 'faedah', 'sungguh']"
92,92,1094591780975083520,✩ surely ✩,Tue Mar 05 02:32:54 +0000 2019,"['fanbasebokep2', 'gini', 'ya', 'kalau', 'tutup', 'botol', 'kecap', 'dikasih', 'nyawa', '🐶🐶🐶', 'tolol']"
93,93,1058927508924465158,Mornan,Tue Mar 05 02:32:47 +0000 2019,"['peculik', 'laknat', '1998', 'kok', 'dipilih', 'pendukung', 'tolol', 'jatimmenangkanprabowosandi']"
94,94,860520814923268097,Ari Kudo 🇮🇩,Tue Mar 05 02:31:53 +0000 2019,"['rt', 'karolinabee11', 'megasimarmata', 'kemrin', 'anda', 'jelek2in', 'bapak', 'jokowi', 'lalu', 'mendukung', 'ps', 'dan', 'mem', 'blok', 'saya', 'dkk', 'skarag', 'anda', 'pasang', 'ava', 'dgn…']"
